gbifID,identifier,modified,basisOfRecord,occurrenceID,catalogNumber,recordNumber,recordedBy,eventDate,year,month,day,countryCode,stateProvince,county,locality,verbatimElevation,decimalLatitude,decimalLongitude,footprintWKT,footprintSRS,footprintSpatialFit,georeferencedBy,scientificName,kingdom,phylum,class,order,family,genus,genericName,infragenericEpithet,specificEpithet,infraspecificEpithet,cultivarEpithet,taxonRank,taxonomicStatus,publishingCountry,lastInterpreted,elevation,mediaType,hasCoordinate,hasGeospatialIssues,taxonKey,acceptedTaxonKey,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,species,acceptedScientificName,verbatimScientificName,lastCrawled,repatriated,iucnRedListCategory
2575836552,bb7d2472-40ec-11ea-8c78-005056be20a7,2022-03-05T10:19:39Z,PRESERVED_SPECIMEN,bb7d2472-40ec-11ea-8c78-005056be20a7,Z-000191318,s.n.,Max Gamper,1897-06-06T23:00:00Z,1897,6,7,CH,Valais,Vex (VS),Strasse ins Eringerthal [= Val d’Hérens],,46.222222,7.386944,POINT(7.3870611111111115 46.22222222222222),,,,Artemisia absinthium L.,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Artemisia,Artemisia,,absinthium,,,SPECIES,ACCEPTED,CH,2022-11-02T08:10:16.776Z,631,StillImage,true,false,3121319,3121319,6,7707728,220,414,3065,3120641,3121319,Artemisia absinthium,Artemisia absinthium L.,Artemisia absinthium L.,2022-11-02T08:01:34.425Z,false,NE
2575836553,bb84f794-440d-11ea-8c78-005056be20a7,2022-02-08T16:40:16Z,PRESERVED_SPECIMEN,bb84f794-440d-11ea-8c78-005056be20a7,ZT-00187970,s.n.,Otto Hirschmann,1951-06-30T23:00:00Z,1951,7,1,CH,Valais,Visperterminen (VS),Visperterminen,,46.26,7.902222,POINT(7.902222222222223 46.26),,,,Chondrilla juncea L.,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Chondrilla,Chondrilla,,juncea,,,SPECIES,ACCEPTED,CH,2022-11-02T08:10:16.777Z,1326,StillImage;StillImage,true,false,8537667,8537667,6,7707728,220,414,3065,3144317,8537667,Chondrilla juncea,Chondrilla juncea L.,Chondrilla juncea L.,2022-11-02T08:01:34.425Z,false,NE
2575836554,bb981d55-42b2-11ea-8c78-005056be20a7,2022-02-19T12:45:24Z,PRESERVED_SPECIMEN,bb981d55-42b2-11ea-8c78-005056be20a7,Z-000192118,s.n.,(Johann) Hermann Fischer-Sigwart,1888-07-04T23:06:32Z,1888,7,5,CH,Valais,Anniviers (VS),"Vallée d'Anniviers, ob Vissoye [= Vissoie], Mauerköpfe",,46.216111,7.588889,POINT(7.588861111111111 46.21611111111111),,,,Bromus tectorum L.,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Bromus,Bromus,,tectorum,,,SPECIES,ACCEPTED,CH,2022-11-02T08:10:16.778Z,1299,StillImage;StillImage,true,false,2703746,2703746,6,7707728,196,1369,3073,2703642,2703746,Bromus tectorum,Bromus tectorum L.,Bromus tectorum L.,2022-11-02T08:01:34.425Z,false,NE
2575836555,bba2436a-33c2-11ea-8c78-005056be20a7,2022-01-26T06:40:32Z,PRESERVED_SPECIMEN,bba2436a-33c2-11ea-8c78-005056be20a7,Z-000188445,s.n.,Jean-Jacques Vetter,1869-07-30T23:06:32Z,1869,7,31,CH,Valais,Evolène (VS),"Val d'Hérens, Col de Riedmatten, fentes de rochers",2900 m,46.018055,7.432778,POINT(7.4327777 46.018055),,,,Androsace vandellii (Turra) Chiov.,Plantae,Tracheophyta,Magnoliopsida,Ericales,Primulaceae,Androsace,Androsace,,vandellii,,,SPECIES,ACCEPTED,CH,2022-11-02T08:10:16.778Z,2922,StillImage,true,false,4007907,4007907,6,7707728,220,1353,6674,3169318,4007907,Androsace vandellii,Androsace vandellii (Turra) Chiov.,Androsace vandellii (Turra) Chiov.,2022-11-02T08:01:34.425Z,false,NE
3383328052,bbb748d8-751f-11eb-8209-005056be20a7,2022-10-30T17:07:49Z,PRESERVED_SPECIMEN,bbb748d8-751f-11eb-8209-005056be20a7,Z-000220213,s.n.,Ferdinand Othon Wolf,1888-04-30T23:06:32Z,1888,5,1,CH,Valais,Visperterminen (VS),inter Visp et Stalden,,46.261484,7.876511,"POLYGON((7.86844253540039 46.291146744833,7.89178848266601 46.2899605619766,7.88217544555664 46.2318061317011,7.86123275756836 46.2334685428696,7.86844253540039 46.291146744833))",,,,Daphne alpina L.,Plantae,Tracheophyta,Magnoliopsida,Malvales,Thymelaeaceae,Daphne,Daphne,,alpina,,,SPECIES,ACCEPTED,CH,2022-11-02T08:10:16.778Z,706,StillImage,true,false,7911301,7911301,6,7707728,220,941,2428,3188453,7911301,Daphne alpina,Daphne alpina L.,Daphne alpina L.,2022-11-02T08:01:34.425Z,false,NE
2575836556,bbe0422c-3d12-11ea-8c78-005056be20a7,2021-11-10T08:40:24Z,PRESERVED_SPECIMEN,bbe0422c-3d12-11ea-8c78-005056be20a7,ZT-00185820,s.n.,Denis Coquoz,1913-07-20T23:00:00Z,1913,7,21,CH,Valais,Salvan (VS),"Salenfe, près du col du Jorat",1900 m,46.145556,6.969722,POINT(6.969833333333334 46.14555555555555),,,,Viola cenisia L.,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Violaceae,Viola,Viola,,cenisia,,,SPECIES,ACCEPTED,CH,2022-11-02T08:10:16.790Z,1925,StillImage,true,false,7296350,7296350,6,7707728,220,1414,6631,2874237,7296350,Viola cenisia,Viola cenisia L.,Viola cenisia L.,2022-11-02T08:01:34.425Z,false,NE
2575836557,bbf0ca0f-1681-11ea-8c78-005056be20a7,2022-03-15T10:45:28Z,PRESERVED_SPECIMEN,bbf0ca0f-1681-11ea-8c78-005056be20a7,Z-000182137,s.n.,Ernst Landolt-Kradolfer,1932-07-31T23:00:00Z,1932,8,1,CH,Valais,Zermatt (VS),"Zermatt, ob dem Bahnhof, Geröll, steinige Halden",1600 m,46.025277,7.748333,POINT(7.7483333 46.025277),,,,Artemisia umbelliformis Lam.,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Artemisia,Artemisia,,umbelliformis,,,SPECIES,ACCEPTED,CH,2022-11-02T08:10:16.791Z,1615,StillImage,true,false,3120864,3120864,6,7707728,220,414,3065,3120641,3120864,Artemisia umbelliformis,Artemisia umbelliformis Lam.,Artemisia umbelliformis Lam.,2022-11-02T08:01:34.425Z,false,LC
2575836558,bbfe08f9-41bc-11ea-8c78-005056be20a7,2022-03-02T08:24:49Z,PRESERVED_SPECIMEN,bbfe08f9-41bc-11ea-8c78-005056be20a7,ZT-00186952,s.n.,Wilhelm Bernoulli-Sartorius,1860-12-31T23:06:32Z,1861,1,1,CH,Valais,Stalden (VS),Stalden,,46.234444,7.868889,POINT(7.86888888888889 46.23444444444444),,,,Astragalus exscapus L.,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Astragalus,Astragalus,,exscapus,,,SPECIES,ACCEPTED,CH,2022-11-02T08:10:16.791Z,887,StillImage,true,false,5343540,5343540,6,7707728,220,1370,5386,2933951,5343540,Astragalus exscapus,Astragalus exscapus L.,Astragalus exscapus L.,2022-11-02T08:01:34.425Z,false,NE
3383328061,bc07c929-608a-11eb-8cd8-005056be20a7,2022-06-18T18:43:22Z,PRESERVED_SPECIMEN,bc07c929-608a-11eb-8cd8-005056be20a7,ZT-00223391,81/1044,Matthias Baltisberger;Esther Baltisberger,1981-08-13T22:00:00Z,1981,8,14,CH,Valais,Leukerbad (VS),"ca. 3 km NW von Leukerbad, 1.5 km W des Gemmipasses, N des Lämmerboden, S-exp. Schutthalde",,46.403333,7.591389,POINT(7.59138888888889 46.4033333333333),,,,Achillea atrata L.,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Achillea,Achillea,,atrata,,,SPECIES,ACCEPTED,CH,2022-11-02T08:10:16.792Z,2321,StillImage,true,false,3120203,3120203,6,7707728,220,414,3065,3119995,3120203,Achillea atrata,Achillea atrata L.,Achillea atrata L.,2022-11-02T08:01:34.425Z,false,NE
2575836559,bc0a0581-0238-11ea-892f-005056be20a7,2021-11-10T08:40:24Z,PRESERVED_SPECIMEN,bc0a0581-0238-11ea-892f-005056be20a7,ZT-00172427,677,Strise,1894-07-30T23:00:00Z,1894,7,31,CH,Valais,,Saasthal,,46.181372,7.925836,"POLYGON((7.94395338588525 46.1028815692374,7.94398878426839 46.1028791518623,7.94402282231152 46.1028719926347,7.94405419195172 46.102860366678,7.94408168767133 46.1028447207686,7.94410425282524 46.1028256561667,7.94412102024726 46.1028039055113,7.94413134557476 46.1027803046652,7.94413483201119 46.1027557605939,7.94413134557476 46.1027312165116,7.94412102024726 46.1027076156344,7.94410425282524 46.1026858649325,7.94408168767133 46.1026668002757,7.94405419195172 46.1026511543113,7.94402282231152 46.102639528308,7.94398878426839 46.1026323690493,7.94395338588525 46.1026299516633,7.94391798750212 46.1026323690493,7.94388394945899 46.102639528308,7.94385257981878 46.1026511543113,7.94382508409918 46.1026668002757,7.94380251894526 46.1026858649325,7.94378575152324 46.1027076156344,7.94377542619574 46.1027312165116,7.94377193975931 46.1027557605939,7.94377542619574 46.1027803046652,7.94378575152324 46.1028039055113,7.94380251894526 46.1028256561667,7.94382508409918 46.1028447207686,7.94385257981878 46.102860366678,7.94388394945899 46.1028719926347,7.94391798750212 46.1028791518623,7.94395338588525 46.1028815692374))",,,,Crepis alpestris (Jacq.) Tausch,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Crepis,Crepis,,alpestris,,,SPECIES,ACCEPTED,CH,2022-11-02T08:10:16.792Z,2131,StillImage,true,false,5403589,5403589,6,7707728,220,414,3065,3143303,5403589,Crepis alpestris,Crepis alpestris (Jacq.) Tausch,Crepis alpestris (Jacq.) Tausch,2022-11-02T08:01:34.425Z,false,NE
